哈哈	4
哈哈	4
泪	3
偷笑	4
嘻嘻	4
心	1
鼓掌	1
爱你	1
抓狂	2
花心	4
good	1
赞	1
酷	1
给力	1
害羞	4
思考	0
吃惊	0
挖鼻屎	0
汗	0
兔子	0
奥特曼	0
可怜	3
怒	2
衰	2
围观	0
太开心	4
可爱	4
威武	1
耶	4
晕	3
馋嘴	4
呵呵	4
蛋糕	4
哼	2
音乐	4
生病	3
亲亲	1
委屈	3
抱抱	1
蜡烛	0
话筒	0
太阳	4
微风	4
月亮	4
睡觉	0
礼花	1
握手	1
鄙视	2
熊猫	0
失望	3
来	0
做鬼脸	0
浮云	0
干杯	4
疑问	0
礼物	4
手套	0
爱心传递	0
困	3
怒骂	2
雪	4
伤心	3
打哈气	2
飞吻	1
乐乐	4
花	4
懒得理你	2
ok	4
萌	4
惊恐	0
猪头	0
嘘	0
钱	0
右哼哼	2
神马	0
飞机	0
咖啡	0
黑线	0
圣诞树	4
吐	2
风扇	0
哇哈哈	4
囧	0
雪人	4
爱	1
照相机	0
微笑	4
挤眼	4
圣诞老人	4
跳舞花	4
下雨	0
开心	4
大哭	3
吐舌头	0
闭嘴	0
温暖帽子	4
帅	0
左哼哼	2
弱	0
围脖	0
鲜花	4
阴险	0
闪电	0
织	0
钟	0
圣诞铃铛	4
悲伤	3
欢欢	4
星星眼	0
不要	0
大笑	4
阳光	4
拳头	2
冒个泡	0
好得意	4
顶	0
西瓜	4
坏笑	0
愤怒	2
喜	4
咆哮	2
圣诞帽	4
绿丝带	0
猥琐	0
春暖花开	4
音乐盒	4
1	0
落叶	0
圣诞袜	4
呲牙	0
抓沙发	0
茶	0
大巴	0
唱歌	4
喜欢你	1
激动	4
2	0
问号	0
汽车	0
满月	4
糖果	4
自行车	0
淘气	4
发嗲	0
印迹	0
万圣节	0
彩虹	4
骷髅	3
狗	0
鸭梨	0
high	4
叶子	0
3	0
星	4
冰棍	0
女孩儿	0
haha	4
热吻	0
叹号	0
汗了	0
电影	0
男孩儿	0
崩溃	3
有爱	1
听音乐	4
媚眼	1
紧张	3
奋斗	1
kiss	4
好可怜	3
脚印	0
管不着爱	4
哭泣女	3
瞌睡	3
惊讶	0
闪闪红	0
5	0
粉红丝带	0
玫瑰	1
月饼	1
红牌	0
国旗	0
书呆子	0
冲锋	4
4	0
震撼	0
orz	0
钻石	4
流星	4
让红包飞	4
惊喜	4
驯鹿	4
悼念乔布斯	0
喵	0
圆	0
揉	0
团	0
擂鼓	1
足球	0
手机	0
扇子遮面	0
美好	1
康乃馨	1
粉蛋糕	1
左抱抱	4
怒吼	2
胡萝卜	0
r	0
酒壶	0
互粉	0
红包	4
喵呜	0
囧耳朵	0
感动	4
c	0
右抱抱	4
脸红自爆	0
咬手帕	0
闪闪粉	0
昂	0
高兴	4
生气	2
